,Pressure Height FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAT Degrees Celcius,,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,10000,2020,2030,2040,2050,2060,2070,2078,2086,2094,2102,2110,2116,2122,2128,2134,2140,2148,2156,2164,2172,2180,2188,2196,2204,2212,2220,2231,2242,2253,2264,2275,2280,2285,2290,2295,2300,2309,2318,2327,2336,2345,2353,2361,2369,2377,2385,2392,2399,2406,2413,2420,2431,2442,2453,2464,2475,2480,2485,2490,2495,2500
,8000,1875,1882,1889,1896,1903,1910,1918,1926,1934,1942,1950,1956,1962,1968,1974,1980,1988,1996,2004,2012,2020,2028,2036,2044,2052,2060,2068,2076,2084,2092,2100,2106,2112,2118,2124,2130,2140,2150,2160,2170,2180,2186,2192,2198,2204,2210,2218,2226,2234,2242,2250,2257,2264,2271,2278,2285,2292,2299,2306,2313,2320
,6000,1740,1747,1754,1761,1768,1775,1782,1789,1796,1803,1810,1816,1822,1828,1834,1840,1847,1854,1861,1868,1875,1882,1889,1896,1903,1910,1917,1924,1931,1938,1945,1952,1959,1966,1973,1980,1986,1992,1998,2004,2010,2017,2024,2031,2038,2045,2053,2061,2069,2077,2085,2092,2099,2106,2113,2120,2128,2136,2144,2152,2160
,5000,1680,1687,1693,1700,1706,1713,1720,1728,1735,1743,1750,1755,1760,1765,1770,1775,1782,1789,1796,1803,1810,1817,1824,1831,1838,1845,1852,1858,1865,1871,1878,1884,1891,1897,1904,1910,1917,1924,1931,1938,1945,1951,1956,1962,1967,1973,1980,1987,1994,2001,2008,2016,2024,2032,2040,2048,2053,2059,2064,2070,2075
,4000,1620,1626,1632,1638,1644,1650,1658,1666,1674,1682,1690,1694,1698,1702,1706,1710,1717,1724,1731,1738,1745,1752,1759,1766,1773,1780,1786,1792,1798,1804,1810,1816,1822,1828,1834,1840,1848,1856,1864,1872,1880,1884,1888,1892,1896,1900,1906,1912,1918,1924,1930,1939,1948,1957,1966,1975,1978,1981,1984,1987,1990
,3800,1608,1614,1620,1626,1632,1638,1646,1654,1661,1669,1677,1681,1685,1690,1694,1698,1705,1712,1719,1726,1733,1739,1746,1753,1760,1767,1773,1779,1785,1791,1797,1803,1809,1814,1820,1826,1834,1842,1849,1857,1865,1869,1874,1878,1883,1887,1893,1899,1905,1911,1917,1925,1934,1942,1951,1960,1963,1967,1970,1974,1977
,3600,1596,1602,1608,1614,1620,1626,1634,1641,1649,1656,1664,1668,1673,1677,1682,1686,1693,1700,1706,1713,1720,1727,1733,1740,1746,1753,1759,1765,1772,1778,1784,1790,1795,1801,1806,1812,1820,1827,1835,1842,1850,1855,1860,1864,1869,1874,1880,1886,1891,1897,1903,1911,1919,1928,1936,1944,1948,1952,1956,1960,1964
,3400,1584,1590,1596,1602,1608,1614,1621,1629,1636,1644,1651,1656,1660,1665,1669,1674,1681,1687,1694,1701,1708,1714,1720,1727,1733,1740,1746,1752,1758,1765,1771,1776,1782,1787,1793,1798,1805,1813,1820,1828,1835,1840,1845,1851,1856,1861,1867,1872,1878,1884,1890,1897,1905,1913,1921,1929,1933,1938,1942,1947,1951
,3200,1572,1578,1584,1590,1596,1602,1609,1616,1624,1631,1638,1643,1648,1652,1657,1662,1669,1675,1682,1688,1695,1701,1707,1714,1720,1726,1732,1739,1745,1752,1758,1763,1768,1774,1779,1784,1791,1798,1806,1813,1820,1826,1831,1837,1842,1848,1854,1859,1865,1870,1876,1883,1891,1898,1906,1913,1918,1923,1928,1933,1938
