-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3385,3313,3241,3169,3097,3025,2960,2895,2830,2765,2700,2678,2656,2634,2612,2590,2569,2548,2527,2506,2485,2463,2441,2419,2397,2375,2354,2333,2312,2291,2270,2246,2222,2198,2174,2150,2130,2110,2090,2070,2050
3362,3290,3218,3146,3075,3003,2938,2873,2809,2744,2679,2657,2635,2614,2592,2570,2549,2528,2507,2486,2465,2445,2424,2403,2382,2362,2340,2318,2296,2274,2253,2229,2205,2180,2156,2132,2113,2093,2073,2053,2033
3339,3267,3195,3124,3052,2981,2916,2852,2787,2723,2658,2637,2615,2593,2572,2550,2529,2508,2487,2466,2446,2426,2407,2387,2368,2349,2326,2303,2281,2258,2235,2211,2187,2163,2139,2115,2095,2075,2056,2036,2016
3315,3244,3173,3101,3030,2959,2895,2830,2766,2702,2637,2616,2594,2573,2551,2530,2509,2488,2468,2447,2426,2408,2390,2372,2353,2335,2312,2288,2265,2241,2218,2194,2170,2145,2121,2097,2078,2058,2039,2019,2000
3292,3221,3150,3079,3008,2937,2873,2809,2745,2681,2616,2595,2574,2553,2531,2510,2489,2468,2448,2427,2406,2389,2373,2356,2339,2322,2298,2273,2249,2225,2201,2176,2152,2128,2104,2079,2060,2041,2022,2002,1983
3269,3198,3127,3056,2986,2915,2851,2787,2723,2659,2596,2574,2553,2532,2511,2490,2469,2449,2428,2407,2386,2371,2355,2340,2324,2309,2284,2259,2233,2208,2183,2159,2135,2110,2086,2062,2043,2024,2004,1985,1966
3246,3175,3104,3034,2963,2893,2829,2765,2702,2638,2575,2554,2533,2512,2491,2470,2449,2429,2408,2387,2367,2353,2338,2324,2310,2296,2270,2244,2218,2192,2166,2142,2117,2093,2068,2044,2025,2006,1987,1968,1949
3222,3152,3082,3011,2941,2871,2807,2744,2681,2617,2554,2533,2512,2492,2471,2450,2429,2409,2388,2368,2347,2334,2321,2308,2295,2282,2256,2229,2202,2175,2149,2124,2100,2075,2051,2026,2008,1989,1970,1951,1933
3199,3129,3059,2989,2919,2849,2785,2722,2659,2596,2533,2512,2492,2471,2451,2430,2409,2389,2368,2348,2327,2316,2304,2292,2281,2269,2242,2214,2186,2159,2131,2107,2082,2058,2033,2009,1990,1972,1953,1934,1916
3176,3106,3036,2966,2896,2826,2764,2701,2638,2575,2512,2492,2471,2451,2430,2410,2390,2369,2349,2328,2308,2297,2287,2277,2266,2256,2227,2199,2171,2142,2114,2089,2065,2040,2016,1991,1973,1954,1936,1918,1899
3153,3083,3013,2944,2874,2804,2742,2679,2616,2554,2491,2471,2451,2430,2410,2390,2370,2349,2329,2308,2288,2279,2270,2261,2252,2243,2213,2184,2155,2126,2096,2072,2047,2023,1998,1974,1955,1937,1919,1901,1882
3129,3060,2991,2921,2852,2782,2720,2658,2595,2533,2470,2450,2430,2410,2390,2370,2350,2329,2309,2289,2268,2260,2253,2245,2237,2229,2199,2169,2139,2109,2079,2054,2030,2005,1981,1956,1938,1920,1902,1884,1866
3106,3037,2968,2899,2829,2760,2698,2636,2574,2512,2449,2430,2410,2390,2370,2350,2330,2309,2289,2269,2249,2242,2236,2229,2223,2216,2185,2154,2124,2093,2062,2037,2012,1988,1963,1938,1920,1902,1885,1867,1849
3083,3014,2945,2876,2807,2738,2676,2614,2552,2490,2429,2409,2389,2369,2350,2330,2310,2290,2269,2249,2229,2224,2218,2213,2208,2203,2171,2140,2108,2076,2044,2020,1995,1970,1945,1921,1903,1885,1867,1850,1832
3060,2991,2922,2854,2785,2716,2654,2593,2531,2469,2408,2388,2369,2349,2330,2310,2290,2270,2249,2229,2209,2205,2201,2197,2194,2190,2157,2125,2092,2060,2027,2002,1977,1953,1928,1903,1885,1868,1850,1833,1815
3036,2968,2900,2831,2763,2694,2633,2571,2510,2448,2387,2367,2348,2329,2309,2290,2270,2250,2230,2210,2189,2187,2184,2182,2179,2176,2143,2110,2076,2043,2010,1985,1960,1935,1910,1885,1868,1851,1833,1816,1799
3013,2945,2877,2809,2740,2672,2611,2550,2488,2427,2366,2347,2328,2308,2289,2270,2250,2230,2210,2190,2170,2168,2167,2166,2165,2163,2129,2095,2061,2027,1992,1967,1942,1918,1893,1868,1850,1833,1816,1799,1782
2990,2922,2854,2786,2718,2650,2589,2528,2467,2406,2345,2326,2307,2288,2269,2250,2230,2210,2190,2170,2150,2150,2150,2150,2150,2150,2115,2080,2045,2010,1975,1950,1925,1900,1875,1850,1833,1816,1799,1782,1765
2967,2899,2832,2764,2696,2629,2568,2508,2447,2386,2326,2307,2288,2269,2250,2231,2211,2191,2171,2151,2131,2130,2129,2127,2126,2125,2091,2057,2023,1989,1956,1931,1906,1881,1857,1832,1815,1798,1781,1764,1746
2944,2877,2810,2742,2675,2608,2547,2487,2427,2367,2307,2288,2269,2249,2230,2211,2191,2171,2152,2132,2112,2109,2107,2105,2102,2100,2067,2034,2002,1969,1936,1912,1887,1863,1838,1814,1796,1779,1762,1745,1728
2921,2854,2787,2720,2653,2586,2527,2467,2407,2347,2288,2268,2249,2230,2211,2192,2172,2152,2132,2112,2093,2089,2086,2082,2079,2075,2043,2012,1980,1948,1917,1892,1868,1844,1820,1795,1778,1761,1744,1727,1709
